ID,Original_Row,Question,Answer,Extraction_Method,Confidence,Question_Length,Answer_Length
11,62,わき腹のけがで昨シーズンは終わったが、そちらの回復具合は。,外で打った時にやっていたので、きょうも初めての外だったのでちょっと慎重気味に振りましたけど、その割にはよく振れていたんじゃないかなと思いますし、インサイド、中でも外でも比較的気になることなく振れているので、わき腹の方はまったく問題ないかなと思います。,row_scan,high,29,125
12,66,今後は毎日外で打つか。,たぶん打たないとは思いますけど、キャンプ中は比較的多めには打つと思います。基本的にやることは中で。外でやるのは強度の確認がメインになるかと思います。,row_scan,high,11,74
13,69,シーズン開幕戦に向けて、自信は高まった？,そうですね。軽めにいこうかなと思ってましたけど、思ったより振れていたので、そこはスケジュール通りには来つつ、内容自体はいいんじゃないかと思うので、このまま順調にいけばというところだと思います。Ａ．外で打つときは、今も言いましたけど、外で打つときは強度の確認、体の確認がメインですし、中で打つときは、なんていうんですかね、どこに注意して、自分でチェックポイントを探しながらというところかなと思います。,question_mark_based,low,20,199
14,72,キャンプではスイングのメカニックの部分を大事にするのか、全体の感覚を大事にするのか。,外で打つときは、今も言いましたけど、外で打つときは強度の確認、体の確認がメインですし、中で打つときは、なんていうんですかね、どこに注意して、自分でチェックポイントを探しながらというところかなと思います。,row_scan,high,42,101
15,75,強度は１００％になったのか。去年からの変化はどのように感じた？,最後の２、３スイングは９０％ちょっとぐらいの力加減で振っているので、数字的にもそのぐらいの数値、むしろちょっと高いぐらいかなという感じなので、いい傾向かなとは思います。トレーニングの成果もしっかり出てるんじゃないかなと思います。,question_mark_based,low,31,114
16,80,オープン戦は頭から出られる？感触は。,どうなんですかね、まあある程度トレーナーのなかで、いつぐらいに出るっていうのはあるとは思いますけど、まだすごい先のところまで共有されているわけではないので、この２週間ぐらいのところですかね。あとトラッキングと、ある程度のライブＢＰ入ってみて、よかったら出るって感じなので、そこは、どうなんですかね、トレーナーはたぶんわかっていると思いますけど、僕の方で詳しくは共有はしてないかなと。,question_mark_based,low,18,191
17,83,これくらいかなと思う数字とデータは一致してる？それとも思ったより出ている？,思ったよりは出てましたね。ただアリゾナなのでちょっと飛びますし、打球もちょっと速くはなるので、そこを考慮すると、まあイーブンくらいかなという感じです。,question_mark_based,low,37,75
18,86,スイングは通したいところに通せている？まだずれがある？,ＢＰ（バッティング練習）のボールなので、そんなに、ずれがまだすごい出るという段階ではないですし、まあスイング自体は悪くはない段階かなと思います。,question_mark_based,low,27,72
19,90,２０１９年よりも段階が早い。経験が生きている？,もちろん、焦りなく、どのくらいのペースでやっていけばいいのかというのはわかっている分、あまり焦りとかはないですけど、まあでも傷口の回復具合だったりとか、そのあとの、伸展とか、屈曲の動きだったりとかっていうのは、単純に前回よりもいいかなって感じはあったので、それは今もあまり変わらないですし、まああと投げてみてからのステップはちょっとまだわからないかなという感じです。,row_scan,high,23,183
20,106,ドジャースで初のキャンプ、どういうキャンプにしたいか。,新しいチームなので１年目のつもりで、まず環境に慣れる、チームメートに慣れることが最優先かなと思います。,row_scan,high,27,51
21,109,リハビリの現状は？,強度は１００に近いので、マシンだったり実際の投手の球を打つ段階に進んでいくかなと思いますね。Ａ．まずはお互いに知ることからだと思うので、僕のバッティングの感覚だったりとか、どういうふうにバッティングのプロセスを進めていく、チームとしてどういうふうにプロセスを進めていくのか理解しながら、まずはそこからかなと思います。Ａ．今のところみんないい人ですし、いい人というか話しやすい人たちばかりかなと思うので、まだ会ったことない選手ももちろんいるので、あいさつをたくさんの人にするのでまずはそこからですけど、今のところは楽しくやれているかなと思います。,question_mark_based,low,9,272
22,112,バッティングコーチとはここまでどうか。,まずはお互いに知ることからだと思うので、僕のバッティングの感覚だったりとか、どういうふうにバッティングのプロセスを進めていく、チームとしてどういうふうにプロセスを進めていくのか理解しながら、まずはそこからかなと思います。,row_scan,high,19,110
23,116,緊張はあるか。,今のところみんないい人ですし、いい人というか話しやすい人たちばかりかなと思うので、まだ会ったことない選手ももちろんいるので、あいさつをたくさんの人にするのでまずはそこからですけど、今のところは楽しくやれているかなと思います。,row_scan,high,7,112
24,119,シーズンに向けてピッチャーとしてのリハビリを兼ねて準備する難しさはどういうところにあるか。,初めてではないので、２０１９年ですかね、同じような感じでやってますし、ある程度のプロセスは理解しているので、前回よりもスムーズにいくのではないかなと思っています。,row_scan,high,45,81
25,122,チームの関係者とのコミュニケーションは自分から行くか、待っているか。,みずから行きますね。基本的にはみずから行きますけど、さっきも言いましたけどけっこういろんな人にあいさつするので、まずは２回目あいさつに行かないように、一発目で覚えられるように、もし行ったときは勘弁してほしいなと思います。,row_scan,high,34,110
26,126,会うのを楽しみにしていた選手はいるか。そのなかで実際に会った選手はいるか。,楽しみにしてた、うーん、楽しみにしてたというか、ビューラー選手とラックス選手とかはずっと、１か月前ぐらいから、ドジャースタジアムで一緒にやっていたので、楽しみにしていたというよりは、最初に会った２人が、なんか楽かなとは思います。,row_scan,high,37,114
27,129,バッティングに関して、もう一段階次のレベルがあると思うか。,バッティングはそうですね、もう、１段階と言わず、まだまだあると思っているので、入る打線によってやることも変わってきますし、ただ自分の磨く技術だったりは変わらないので、そこはまだまだ先があるかなと思っています。,row_scan,high,29,104
28,135,今シーズン、スプリングトレーニングのなかでは、何を大事にしていきたいか。,さっきも言いましたけど環境に慣れることが一番かなと思うので、まずはチームメート、コーチ、スタッフ、コミュニケーションが先かなと思いますし、その先は、毎年キャンプでやることは変わりはしないので、ただ投げることはまだ１か月ぐらい先なので、そこはとりあえず考えずに、バッティングのことだけ考えて、あとは走ること、けがをせずにしっかりとシーズンを乗り切れるように、コンディションを整えたいと思います。,row_scan,high,36,196
29,139,キャンプ地の施設の印象は。,まとまってるなっていう。コンパクトに。必要なものがまとまってて使いやすいなって印象が今のところは、使っているところも限られていますし、まだグラウンドには出てないので、そういう印象かなと思います。,row_scan,high,13,97
30,142,前のチームと違うものはありますか。,大きくは変わりはしないかなと思いますけど、トレーニングに関しては、一緒にやるスタッフによって多少、毛色が違ったりするので、そこもコミュニケーションですね。自分がどういうトレーニングをまず優先したいのか、時期によって優先したいのかとか、その人がどういうトレーニングを推奨しているのかによっても、そこも話し合いながら決めたいなと思っています。,row_scan,high,17,169
31,146,オフに例年のようなトレーニングできなかった分、どうやって補っていくのか。,バッティングでも去年かなり良い感じがつかめていたので、基本的にはそれを継続するところと、微妙に変えにいくところとかなと思うので、今のところは大きく変えてないですし、必要なところはところでまた調整しながら、キャンプ中に直していけたらいいんじゃないかなと思っています。,row_scan,high,36,132
32,149,今シーズン軸になっていきそうなものが見つかった？,というか、何をすれば良い状態を維持しやすいのかとか、そういう調整法も含めて、なんでこうなっているのかというのを理解すれば、好調を維持したりとか不調をはやく脱したりとかしやすいのかなと思うので、そこは去年よかったんじゃないかなと思います。,question_mark_based,low,24,118
33,156,今後どう２人でチームを支えていきたい？,日本人だからっていうのは日本語でコミュニケーションとりやすいっていうのはありますけど、そこはもうチームメートのひとり、むこうもそうだと思いますけど。そこは別に、日本人だからとか関係なく、全員がチームメートですし。ただロッカーも隣なので、話す機会はもちろん多くなるかなと思うんですけど、１年目なのでわからないこととかあれば僕の方が知っている部分もあると思うので、そういうところは一緒にやっていけたらと思います。Ａ．特に伝えたいことはないですね。シーズン前のやるべきことをやる場所だと思っているので、当然こうやってメディアの人の前でしゃべる機会っていうのはオフシーズンより増えてきますけど、それはそれとして、やることは変わらずに、まずはシーズンに向けて準備する大事な期間だなとは思っています。Ａ．ムーキーはこの間、ちょこっとファンフェスタの時には会っているので、軽く会ったぐらいでまだたぶんこっちでは会っていないので。由伸は昨日も会って、それなりに。さっき新しい通訳さんとも話しましたけど、これからかなと思います。,question_mark_based,low,19,455
34,159,子どもたちも含めてどんなメッセージをキャンプの姿から伝えたいか。,特に伝えたいことはないですね。シーズン前のやるべきことをやる場所だと思っているので、当然こうやってメディアの人の前でしゃべる機会っていうのはオフシーズンより増えてきますけど、それはそれとして、やることは変わらずに、まずはシーズンに向けて準備する大事な期間だなとは思っています。,row_scan,high,32,138
35,162,ベッツ選手や山本投手とロッカーが隣。どんな会話をしたか。,ムーキーはこの間、ちょこっとファンフェスタの時には会っているので、軽く会ったぐらいでまだたぶんこっちでは会っていないので。由伸は昨日も会って、それなりに。さっき新しい通訳さんとも話しましたけど、これからかなと思います。その言葉が冒頭の優勝への思いだ。トークショーではエンジェルス時代を振り返りながら「（エンジェルスカラーの）赤とは真逆なので、ようやくドジャースに来たと実感している。また、通訳の水原一平さんとの関係性について聞かれると「ビジネスの関係なので友達ではなく割り切って付き合ってる」と冗談を交えて答え会場の笑いを誘った。,row_scan,high,28,265
36,178,ドジャースのファンに会うのは初めてだが心境は？,きょうは試合があるわけではないので、単純にあいさつと、雰囲気を楽しめたらいいかなと思います。,question_mark_based,low,23,46
37,181,現在のリハビリ、バッティングの状況は？,バッティングはティーとトスバッティングを大体１００％くらいでできる感じなので、アリゾナに入って、マシン打撃などから始まってくるかなと思います。,question_mark_based,low,19,71
38,184,韓国の開幕戦には間に合うように進んでいる？,そうですね。今も大体スケジュール通りには来ているので、特に遅れてもなく無理矢理早めているわけでもないので、順調にいけばそのまま、もともと間に合うスケジュールでは来ているので、そのままのスケジュールで行けば間に合うのではないかと思います。,question_mark_based,low,21,118
39,187,キャッチボールはもう始めている？,キャッチボールはまだですね。アリゾナに入って軽いスローイングから始まって、その後はピッチングの方は若干慎重気味に行くんじゃないかと思っているので、１回目の手術よりスムーズに来ているかなという印象はあるかなと思います。,question_mark_based,low,16,108
40,190,チームメートとなじんできた印象はある？,きょう初めて会う選手もいるので、大体今ここでやってる選手たちはほとんど同じメンバーというか、何人か同じメンバーでやってるので、そういう選手とはコミュニケーションとったりします。きょう初めて会った選手のほうが多いかなと思います。Ａ．全部ですね。Ａ．責任はより重くはなると思いますけど、やること自体は変わらないと思いますし、これまでも金額うんぬん関係なくベストは尽くしてきていると思っているので、そういうのは変わらずに継続したいなと思っています。,question_mark_based,low,19,221
41,196,チームが変わって責任も増えて、ことしは今までと違う気持ちあると思うが。,責任はより重くはなると思いますけど、やること自体は変わらないと思いますし、これまでも金額うんぬん関係なくベストは尽くしてきていると思っているので、そういうのは変わらずに継続したいなと思っています。,row_scan,high,35,98
42,199,リハビリによるオフシーズンの体作りへの影響を感じている？,コンディショニングは、やっぱり最初の１か月くらいは動けなかったので、動けないなかでしっかり食べて回復もさせないといけないし、その分体重ももちろん増えるので、最初は若干減量気味から入って、上半身は特に重いウエイトも使えないですし、まあ今は使えますけど、ちょっとマイナスからのスタートになるというのは、例年のオフとはちょっと違うかなと思います。Ａ．ないですね。僕は１年目のつもりで入るので、このチームの１年目ですし、それは今までエンジェルスでやってきた年数というのはないものだと思って、新たなスタートだと思ってやりたいと思ってます。,question_mark_based,low,28,264
43,202,チームにもたらしたい雰囲気みたいなものはあるか。,僕は１年目のつもりで入るので、このチームの１年目ですし、それは今までエンジェルスでやってきた年数というのはないものだと思って、新たなスタートだと思ってやりたいと思ってます。,row_scan,high,24,86
44,205,デコピンはキャンプや遠征は一緒に？,キャンプは行きますね。シーズン中の遠征は行けないと思うので、物理的に。,question_mark_based,low,17,35
45,208,上半身は重点的にやってきた？,いやそこまで、どちらかというと下半身メニュー、上半身は重いものを扱えなかったので。最近になってようやくやってますけど、最初の段階から今までのところは８割くらいは下半身メニューが多かったので、そっちのメニューが多かったかなと思いますね。,question_mark_based,low,14,117
46,211,制限はなく練習もフルでやっている？,バッティングの制限はないですね。ないというかほぼ１００にはなっているので、スイングの力とか、その動作では制限はないですけど、トレーニングでのポジション的に、そこで力を入れない方がいいポジションでのメニューはあまりやってないです。安全な範囲でのものはやってますけど。英語でスピーチし、「本当に光栄です。今の自分のプレーができているのは絶え間ない応援のおかげです」とファンや関係者へ感謝の気持ちを伝えた。,row_scan,high,17,200
47,237,古巣エンジェルスのチームメートと会ってどうだった？,けっこう来ていたので、こっちに、きょう。いろんな人と話しました。,question_mark_based,low,25,32
48,240,今は打席の内容と結果、両方に満足している？,そうですね、きょう久々にナイターでしたけど、あのまたちょっと見え方が違うので、そこらへんもやりながら、また試合をこなしたいなと思っていますし、打席のクオリティーも上がってきてるんじゃないかなと思うので、最後のほうとかね、ちょっと惜しかったですけど、もうちょっと振れるかなと思ってはいます。,question_mark_based,low,21,144
49,245,ドジャースと契約した後、どれくらいエンジェルスのことを振り返って考えた？,どちらかというと決まる前がやっぱりいちばん考えてるので、決まったあとはお互いにこのシーズンに切り替えて、向いてると思うので、やっぱり交渉の段階が一番、考えるんじゃないかなと思います。,question_mark_based,low,36,91
50,248,元チームメートになにか言われたか？,いや、特に、特にというかおめでとうというか、契約できたことにまずおめでとうという会話が多かったですかね。,question_mark_based,low,17,52
51,251,ここ１か月くらいなにが一番印象的だった？,印象的…。チームの色はまあちょっと、なんだろうな、どっちがいいとか悪いとかではなく、そのチームの色があると思うので、まあまだ１か月ですし、もっともっとこう、僕も（山本）由伸もそうですけど、一緒に時間を過ごすうちに、もっともっとなじめるんじゃないかなと思います。,question_mark_based,low,20,130
52,254,エンジェルス相手にプレーするのは変な感じはした？,変な感じはないですかね。ないですかねというか、向こう側にいるのでそこらへんは多少ありますけど、向こうのホームだったらまたちょっと違うんじゃないかなと思うので、今回はこちら側のホームでしたし、そういう点ではあまり違和感はなかったかなと思います。,question_mark_based,low,24,121
53,262,ナイター、デーゲームで間隔短いがなぜこのタイミングで２試合連続で出ることにした？,んー、まぁあとあとのスケジュールも考えながら、全体をトータルとして見たときに出た方がいいなと思ったので、打席数を稼ぐという意味でも大事なんじゃないかと思います。,question_mark_based,low,40,80
54,265,バッターとしてのリハビリは終わった？,リハビリはもう終わってますね。あとはもうどれくらいクオリティーを上げていけるか、結果どうのこうのではなく、しっかりとまず見えてるかどうか、振れてるかどうか、いいタイミングで待ててるかどうかがいちばん大事かなと思います。Ａ．いやもう全員、契約おめでとうということと、家族も含めてお互いに元気かということ、まあふつうの感じでしたね。Ａ．んー、違い。まあどちらもいいバッターですし、打席のクオリティーも高いし、勉強になることが多いと思うので、まあ自分の打席も考えながら、うしろからどういうふうに打席を送ってるのかなっていうのは、見ながら勉強はしてますね。,question_mark_based,low,18,274
55,268,トラウト選手とどんな会話をした。,いやもう全員、契約おめでとうということと、家族も含めてお互いに元気かということ、まあふつうの感じでしたね。,row_scan,high,16,53
56,273,昨シーズンまでトラウト選手をネクストから見ていたが、今はベッツ選手。その違いは感じるか。,まあどちらもいいバッターですし、打席のクオリティーも高いし、勉強になることが多いと思うので、まあ自分の打席も考えながら、うしろからどういうふうに打席を送ってるのかなっていうのは、見ながら勉強はしてますね。,row_scan,high,44,102
57,276,右手の小指にテーピングも、状態は。,多少腫れはありますけど、特に問題はないかなと。あと２、３日すればいいんじゃないかなと思います。,row_scan,high,17,47
58,282,山本投手を気にかけている？,気にはかけていないですね（笑）うん、プロフェッショナルですし、やることしっかりと、どこにいてもやる選手だと思うので、まわりのサポートももちろんありますし、えー、ただ同じフィールドで過ごす日本人、日本語でしゃべるから、気軽にしゃべれるのは、まあお互いにですけどね、多少特別なのかなと思います。Ａ．そうですね。リハビリが基本的にはメインであったので、まずリハビリの経過、まあスケジュールどおりにしっかりとこなせて、今こうやってこう、まず打席数を重ねてしっかりと開幕に向けて出続けられているというのがまずいちばんじゃないかなと思って、トレーニングの成果で、技術的なものっていうのは、それの次かなと思いますね。,question_mark_based,low,13,301
59,285,オフに取り組んでいて効果を実感していることは。,リハビリが基本的にはメインであったので、まずリハビリの経過、まあスケジュールどおりにしっかりとこなせて、今こうやってこう、まず打席数を重ねてしっかりと開幕に向けて出続けられているというのがまずいちばんじゃないかなと思って、トレーニングの成果で、技術的なものっていうのは、それの次かなと思いますね。,row_scan,high,23,148
60,288,あす出ると決めたナイター、デーという流れもシーズンに向けてクリアしたかった？,いや、ナイターデーが特別かというより、全体のスケジュールを見て、きょうあす出た方がいいという判断なので、そういう全体を見ながら、特にナイターデーを絶対出たいとかではなくて、全体の試合数をまず確保するという意味ですかね。Ａ．リハビリ・・まだスローイングが始まってはないので、ある程度、全体像のスケジュールは共有はしてますけど、まずしっかり開幕を迎えることと、そこで試合にしっかり、バッターの方で問題なくちゃんと公式戦でも出られるという確認をまず、それが先じゃないかなと。その先にショートスローから入って、徐々に徐々に強度を強くしていく感じですね。,question_mark_based,low,38,272
61,293,ピッチングのリハビリのスケジュール感は。,リハビリ・・まだスローイングが始まってはないので、ある程度、全体像のスケジュールは共有はしてますけど、まずしっかり開幕を迎えることと、そこで試合にしっかり、バッターの方で問題なくちゃんと公式戦でも出られるという確認をまず、それが先じゃないかなと。その先にショートスローから入って、徐々に徐々に強度を強くしていく感じですね。,row_scan,high,20,161
62,297,Ａ．韓国のあとということですか？そうですね、たぶんそうなるとは思います。,そこで結婚の決めてについて質問された答えが、冒頭の言葉だ。大谷選手らしく自然で、少し照れくさそうに答えていたが、質問にまっすぐと答えていた。（アメリカメディアの質問から…）。,row_scan,high,36,87
63,308,きょうはライブBP、明日は試合。いつ２日連続で試合に出るか？,連続で出るよりも、まず強度を強く保つことと、トータルの打席数を増やすことがメインなので、連続で出ることにあまり重きを置いてないです。,question_mark_based,low,30,66
64,311,当初50打席を目指すと言っていたが、現状ライブBPなどもあわせて何打席か？,もう２０位だと思うので、もうすぐに５０は多分越えるんじゃないかと思います。継続してあとは強度を保って多めになる分には構わないので、できる限りいい調整を続けたいなと思います。,question_mark_based,low,37,86
65,314,ご結婚おめでとうございます。言える範囲で入籍日と奥さんはどんな方ですか？,日本人の方です。入籍日は特に言わないというか、言わなくていいかなと思っています。至って普通の日本の人です。,question_mark_based,low,36,53
66,317,知り合ってどれぐらいですか？,正確には分からないですが、初めて会ったのは３年、４年ぐらい前ですね。,question_mark_based,low,14,34
67,320,結婚はフリーエージェントの判断に影響がありましたか？,それは全くなかったですね。彼女自身も僕の意見を尊重してくれていますし、そこは野球とは別のことなので…。妻はどこに行っても来るという感じでしたので、そこは全く関係がなく、自分がどこで野球をしたいかというのが、一番のところでした。,question_mark_based,low,26,113
68,323,なぜこのタイミングで発表しようと思いましたか？,シーズン中よりシーズンに入る前が、ベストじゃないかなというのがありました。書類もいろいろあり、整理しないといけないところもありました。もうちょっと早めにやりたかったですが、そういうところで少し伸びて、きょうになったというかたちです。（ここから日本メディアの質問に）。,pattern_Q_dot_A_dot,medium,23,133
69,328,発表しなくてもいいなかでちゃんと発表することにしたのはなぜですか？,一番は（報道の）みなさんがうるさいので。しなかったらしなかったでうるさいですし、きょうここで発表をして、野球に集中したいのが一番です。,question_mark_based,low,33,67
70,331,結婚の決め手は何になりましたか？,特にこれというのはありません。一緒にいて楽しいですし、なんとなくずっといることを想像できました。,question_mark_based,low,16,48
71,336,３、４年前に知り合ったということですが、二刀流で活躍しはじめたときですが、二刀流をやるにあたっても支えになりましたか？,初めて会ったのがそれぐらいの時期というだけで、実際には（お付き合いしたのは）もっともっと後ですし、シーズン中は特にこちらに来ていなかったですし、基本的には今までどおりというか、渡米してから今まで１人でいたので、去年も特に変わらなかったかなと思います。,question_mark_based,low,59,125
72,339,どんなところにひかれましたか？,これというのはないですね。全体的に雰囲気というか、一緒にいて楽しいですし、これ１つというわけではなく、全体的な雰囲気があっているかなと思います。,question_mark_based,low,15,72
73,342,奥さんの好きな手料理は？,こちらに来て、そこまで日はたっていないので、まだそこまで食べていないですね。,question_mark_based,low,12,38
74,346,プロポーズの言葉は？,えーっと、普通に言いました。あえて言う必要はないと思います。,question_mark_based,low,10,30
75,349,交際期間はどれくらい？,初めて会ったのが、３、４年前というだけなので。実際にどれくらいだったかわからないので、婚約をしたのは去年なので、それを指すなら去年になるんですかね。,question_mark_based,low,11,74
76,352,将来的な子どもの希望、イメージはありますか？,もちろん、そうなればいいですけど、自分以外のことを言うと叶わないような気がするので、あまり言いたくないです。,question_mark_based,low,22,54
77,355,犬を飼われたのは結婚の影響があったからですか？,ぼやっとは考えていました。基本的には手術した時もずっと１人で、僕がみていたので、あまりそこまでは…。ぼやっとは考えていましたけど、そこまでは必ずではありません。,question_mark_based,low,23,80
78,358,奥さんも犬が大好きで飼うことを２人で決めた？,僕が勝手にというか、前々から飼いたいなというのがありましたので…。タイミング的に良かった。妻に電話したときにむしろびっくりしていました。（写真）地元岩手県では号外も A.言えないです。言えなくはないですけど、短いスパンで何回か、たまたま会ったので、そこからというのが一番ですかね。,question_mark_based,low,22,140
79,364,なれそめを言える範囲で教えてください。,言えないです。言えなくはないですけど、短いスパンで何回か、たまたま会ったので、そこからというのが一番ですかね。,row_scan,high,19,55
80,370,デートも外に行くのは難しかったのでは？,外は行ってないですね。基本的にアメリカですし。そんなに外に行くことはなかったですね。,question_mark_based,low,19,42
81,373,デートは室内ですか？,ラフな感じで過ごしていました。外に出たら、皆さんうるさいですし。,question_mark_based,low,10,32
82,376,"こんなに楽しくベースを回ったホームランは初めて？
ROW_1698:",いや、そんなことはないですかね。,split_from_long,medium,34,16
83,376,"打席の中でも冷静だった。
ROW_1861:",そうですね、ゾーンの確認だけしないといけないので、毎打席、どういう状況でもそれだけは徹底しないといけないですし、それができていればいい結果につながるのかなと思ってます。,split_from_long,medium,22,84
84,376,"多少のフラストレーションは感じていた？
ROW_946:",フラストレーションはそうですね、あの、僕の中ではさっきも言いましたけど長かったなという印象が強いので、「早く打ちたいな」「早く打ちたいな」という気持ちがこうどんどん、いいアットバット（打席）からかけ離れていくという状態だったので、これを機にしっかり自分の打席を継続したいなと思ってます。,split_from_long,medium,28,143
85,376,"高校の先輩でもある菊池雄星投手との対戦に向けては。
ROW_1241:",もうけっこう打席はやってるので、毎年毎年、でもそんなに数があるわけでもないですし、去年も言いましたけど、僕らももちろん大事ですけど、学校もそうですし、教えてもらった先生方もそうですけど、そういう方にとってのほうが楽しみというか、そういう感じじゃないかなと思います。,split_from_long,medium,35,132
86,376,"ファンが列を作ってサインを求めていた。ドジャースでそういった光景を見るのはどんな気持ちか。
ROW_434:",きょうもたくさんの人に見に来てもらって、歓声もすごく大きかったですし。何よりもチーム関係なく、まずこの時期にこうやってまた戻って来られて、手術もありましたけど順調に戻って来られて。まずそれがいちばん、きょうよかったかなと思います。,split_from_long,medium,54,115
87,376,"監督が完璧な試合展開で勝っていると行っているが、大谷さんはどう見えていますか？
ROW_1528:","強いチームに対してこういう野球ができているというのは自信を持っていいと思うし、またあしたからの励みにしたいと思っています。
〈アメリカメディア〉
。",split_from_long,medium,49,74
88,376,"あの満塁のチャンスでの三振は、状態がいい中とはいえしばらく考えてしまうものか？
ROW_1124:",そうですね、もちろん反省はしますけど。さっきも言ったとおり早く切り替えないといけないので。まあ何が悪かったのかと振り返れば、あとはあしたに切り替えていきたいなと思ってます。,split_from_long,medium,49,86
89,376,"２０２６年のＷＢＣの開催地が決まったが、出たいという気持ちは今も変わらない？
ROW_1818:",そうですね、まあ今のところはそう思っていますし、まあ出たいと言って出られるところではないと思いますけど、もちろん選んでもらえるようにというか、そこのトップ層にまずはしっかりとい続けるというのが大事かなと思います。,split_from_long,medium,48,106
90,376,"（空振り三振に倒れた６回の）満塁の打席で、インサイドのボールを振りにいったが、終わった後に振り返ってあれは止めるべきだと思ったのか。それともあのボールは振るべきだったと思っているのか。
ROW_1153:","どんなシチュエーションでも、ボールは振らない。ストライクを振る。これはシンプルなので。あそこはテイクする（振る）のがベストな反応というか、だったと思いますけど。ボール自体、すばらしいボールではあったので、せめてファウルというのが理想かなとは思いますね。最新記事
RSS
福留孝介さんに聞く MLB2025年はここが面白い。2025シーズン開幕。MLBに挑む日本選手たち
大谷翔平語録 2025
大谷翔平語録2024 ～ポストシーズン編④～
大谷翔平語録2024 ～ポストシーズン編
。その中で動じることなくホームランを打った大谷選手が、その雰囲気を振り返ったことばだ。質疑の中では、元通訳の事件もあったこの1か月について、監督やチームメートと冗談を言い合い、笑い合える雰囲気がとても楽だと、大谷選手らしいことばで感謝を口にした。
＜アメリカメディア＞
。",split_from_long,medium,102,377
91,376,"体の感覚は。
ROW_442:",感覚もよかったです。まあ、体自体の強さもよかったですし。ケージで振ってる感じも、ここのところのなかではいちばんよかったんじゃないかと思うので。あとは無事に終わってよかったなというのが今の気持ちかなと思います。,split_from_long,medium,15,104
